,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
21,Harstem,67,1425,6,P,0,replays/1stRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
22,Patience,26,700,4,P,0,replays/1stRun\01feb8bef10842d2858a1551df038074.SC2Replay
23,LiquidMaNa,25,350,2,P,1,replays/1stRun\01feb8bef10842d2858a1551df038074.SC2Replay
24,Drunkenboi,52,6625,66,T,0,replays/1stRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
25,puCK,59,3400,10,P,1,replays/1stRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
26,TRUE,40,3750,93,Z,0,replays/1stRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
27,PiLiPiLi,62,4500,18,P,1,replays/1stRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
28,Nerchio,25,825,21,Z,1,replays/1stRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
29,Zanster,15,1050,28,Z,0,replays/1stRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
30,Neeb,73,2175,9,P,1,replays/1stRun\02e7514926a94550a52d4a2417650a43.SC2Replay
31,TLO,65,7575,95,Z,0,replays/1stRun\02e7514926a94550a52d4a2417650a43.SC2Replay
32,Silky,24,750,11,Z,0,replays/1stRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
